ts_event,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-04-14 13:30:00.008652825+00:00,2025-04-14 13:30:00.008652825+00:00,10,2,14993,T,A,0,8.72,3,130,170892,38563409,8.72,8.73,3,159,1,1,8.71,8.76,10080,550,4,1,8.7,8.77,5,5,1,1,8.69,8.78,5,5,1,1,8.67,8.79,5,5,2,1,8.65,8.8,1436,407,6,3,8.64,8.81,32,5,3,1,8.61,8.82,80,13,3,2,8.6,8.83,2298,16,13,3,8.59,8.84,1,5,1,1,SOUN
2025-04-14 13:30:00.008652825+00:00,2025-04-14 13:30:00.008652825+00:00,10,2,14993,C,B,0,8.72,3,130,170892,38563409,8.71,8.73,10080,159,4,1,8.7,8.76,5,550,1,1,8.69,8.77,5,5,1,1,8.67,8.78,5,5,2,1,8.65,8.79,1436,5,6,1,8.64,8.8,32,407,3,3,8.61,8.81,80,5,3,1,8.6,8.82,2298,13,13,2,8.59,8.83,1,16,1,3,8.58,8.84,800,5,2,1,SOUN
2025-04-14 13:30:00.041608711+00:00,2025-04-14 13:30:00.041608711+00:00,10,2,14993,T,N,0,8.72,159,130,168283,38569871,8.71,8.73,10080,159,4,1,8.7,8.76,5,550,1,1,8.69,8.77,5,5,1,1,8.67,8.78,5,5,2,1,8.65,8.79,1436,5,6,1,8.64,8.8,32,407,3,3,8.61,8.81,80,5,3,1,8.6,8.82,2298,13,13,2,8.59,8.83,1,16,1,3,8.58,8.84,800,5,2,1,SOUN
2025-04-14 13:30:00.042843755+00:00,2025-04-14 13:30:00.042843755+00:00,10,2,14993,T,N,0,8.72,159,130,167759,38570580,8.71,8.73,10080,159,4,1,8.7,8.76,5,550,1,1,8.69,8.77,5,5,1,1,8.67,8.78,5,5,2,1,8.65,8.79,1436,5,6,1,8.64,8.8,32,407,3,3,8.61,8.81,80,5,3,1,8.6,8.82,2298,13,13,2,8.59,8.83,1,16,1,3,8.58,8.84,800,5,2,1,SOUN
2025-04-14 13:30:00.044682664+00:00,2025-04-14 13:30:00.044682664+00:00,10,2,14993,T,N,0,8.72,159,128,176425,38571479,8.71,8.73,10080,159,4,1,8.7,8.76,5,550,1,1,8.69,8.77,5,5,1,1,8.67,8.78,5,5,2,1,8.65,8.79,1436,5,6,1,8.64,8.8,32,407,3,3,8.61,8.81,80,5,3,1,8.6,8.82,2298,13,13,2,8.59,8.83,1,16,1,3,8.58,8.84,800,5,2,1,SOUN
