ts_event,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-04-14 13:30:00.746984828+00:00,2025-04-14 13:30:00.746984828+00:00,10,2,20613,T,N,0,46.77,1,0,180417,38993298,46.72,46.84,138,18,1,1,46.7,46.85,610,60,3,1,46.46,46.88,100,8,1,1,46.42,47.0,12,544,1,7,46.31,47.01,40,300,1,1,46.11,47.15,2,2000,2,1,46.1,47.24,99,500,1,1,46.05,47.39,566,12,1,1,46.0,47.4,463,438,5,2,45.96,47.44,200,8,1,1,CRWV
2025-04-14 13:30:00.746984828+00:00,2025-04-14 13:30:00.746984828+00:00,10,2,20613,T,N,0,46.79,2,128,180417,38993299,46.72,46.84,138,18,1,1,46.7,46.85,610,60,3,1,46.46,46.88,100,8,1,1,46.42,47.0,12,544,1,7,46.31,47.01,40,300,1,1,46.11,47.15,2,2000,2,1,46.1,47.24,99,500,1,1,46.05,47.39,566,12,1,1,46.0,47.4,463,438,5,2,45.96,47.44,200,8,1,1,CRWV
2025-04-14 13:30:00.903840106+00:00,2025-04-14 13:30:00.903840106+00:00,10,2,20613,A,B,1,46.71,15,130,168108,39072155,46.72,46.84,138,18,1,1,46.71,46.85,15,60,1,1,46.7,46.88,610,8,3,1,46.46,47.0,100,544,1,7,46.42,47.01,12,300,1,1,46.31,47.15,40,2000,1,1,46.11,47.24,2,500,2,1,46.1,47.39,99,12,1,1,46.05,47.4,566,438,1,2,46.0,47.44,463,8,5,1,CRWV
2025-04-14 13:30:01.045040935+00:00,2025-04-14 13:30:01.045040935+00:00,10,2,20613,A,A,3,46.99,1000,128,182213,39164622,46.72,46.84,138,18,1,1,46.71,46.85,15,60,1,1,46.7,46.88,610,8,3,1,46.46,46.99,100,1000,1,1,46.42,47.0,12,544,1,7,46.31,47.01,40,300,1,1,46.11,47.15,2,2000,2,1,46.1,47.24,99,500,1,1,46.05,47.39,566,12,1,1,46.0,47.4,463,438,5,2,CRWV
2025-04-14 13:30:01.107124766+00:00,2025-04-14 13:30:01.107124766+00:00,10,2,20613,T,N,0,46.79,1,128,182346,39209752,46.72,46.84,138,18,1,1,46.71,46.85,15,60,1,1,46.7,46.88,610,8,3,1,46.46,46.99,100,1000,1,1,46.42,47.0,12,544,1,7,46.31,47.01,40,300,1,1,46.11,47.15,2,2000,2,1,46.1,47.24,99,500,1,1,46.05,47.39,566,12,1,1,46.0,47.4,463,438,5,2,CRWV
