ts_event,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-04-14 13:30:00.187288373+00:00,2025-04-14 13:30:00.187288373+00:00,10,2,6292,C,B,3,30.38,100,130,170821,38600493,30.83,31.77,200,1,1,1,30.71,32.19,300,200,1,1,30.39,32.72,5,100,1,1,30.21,32.8,5,5,1,1,30.16,32.99,900,2,1,1,30.15,33.06,5,900,1,1,30.05,33.36,10,100,1,1,30.0,33.48,5,100,1,1,29.95,33.76,10,900,1,1,29.9,34.0,10,100,1,1,FROG
2025-04-14 13:30:00.187653055+00:00,2025-04-14 13:30:00.187653055+00:00,10,2,6292,A,B,2,30.51,100,128,171172,38600806,30.83,31.77,200,1,1,1,30.71,32.19,300,200,1,1,30.51,32.72,100,100,1,1,30.39,32.8,5,5,1,1,30.21,32.87,5,100,1,1,30.16,32.99,900,2,1,1,30.15,33.06,5,900,1,1,30.05,33.36,10,100,1,1,30.0,33.48,5,100,1,1,29.95,33.76,10,900,1,1,FROG
2025-04-14 13:30:00.227931766+00:00,2025-04-14 13:30:00.227931766+00:00,10,2,6292,A,B,2,30.66,100,128,192345,38623736,30.83,31.77,200,1,1,1,30.71,32.19,300,200,1,1,30.66,32.72,100,100,1,1,30.51,32.8,100,5,1,1,30.39,32.87,5,100,1,1,30.21,32.99,5,2,1,1,30.16,33.06,900,900,1,1,30.15,33.36,5,100,1,1,30.05,33.48,10,100,1,1,30.0,33.76,5,900,1,1,FROG
2025-04-14 13:30:00.365535861+00:00,2025-04-14 13:30:00.365535861+00:00,10,2,6292,A,A,9,33.52,100,128,180858,38741768,30.83,31.77,200,1,1,1,30.71,32.19,300,200,1,1,30.66,32.72,100,100,1,1,30.51,32.8,100,5,1,1,30.39,32.87,5,100,1,1,30.21,32.99,5,2,1,1,30.16,33.06,900,900,1,1,30.15,33.36,5,100,1,1,30.05,33.48,10,100,1,1,30.0,33.52,5,100,1,1,FROG
2025-04-14 13:30:01.164509313+00:00,2025-04-14 13:30:01.164509313+00:00,10,2,6292,T,N,0,31.75,6905,0,183428,39251369,30.83,31.77,200,1,1,1,30.71,32.19,300,200,1,1,30.66,32.72,100,100,1,1,30.51,32.8,100,5,1,1,30.39,32.87,5,100,1,1,30.21,32.99,5,2,1,1,30.16,33.06,900,900,1,1,30.15,33.36,5,100,1,1,30.05,33.48,10,100,1,1,30.0,33.52,5,100,1,1,FROG
